"workerId";"60-ideaSubmitTimers";"60-inspirationRequestTimers";"120-ideaSubmitTimers";"120-inspirationRequestTimers";"180-ideaSubmitTimers";"180-inspirationRequestTimers";"240-ideaSubmitTimers";"240-inspirationRequestTimers";"300-ideaSubmitTimers";"300-inspirationRequestTimers";"360-ideaSubmitTimers";"360-inspirationRequestTimers";"420-ideaSubmitTimers";"420-inspirationRequestTimers";"480-ideaSubmitTimers";"480-inspirationRequestTimers";"540-ideaSubmitTimers";"540-inspirationRequestTimers";"600-ideaSubmitTimers";"600-inspirationRequestTimers";"660-ideaSubmitTimers";"660-inspirationRequestTimers";"720-ideaSubmitTimers";"720-inspirationRequestTimers";"780-ideaSubmitTimers";"780-inspirationRequestTimers";"840-ideaSubmitTimers";"840-inspirationRequestTimers";"900-ideaSubmitTimers";"900-inspirationRequestTimers";"960-ideaSubmitTimers";"960-inspirationRequestTimers";"1020-ideaSubmitTimers";"1020-inspirationRequestTimers";"1080-ideaSubmitTimers";"1080-inspirationRequestTimers";"1140-ideaSubmitTimers";"1140-inspirationRequestTimers";"1200-ideaSubmitTimers";"1200-inspirationRequestTimers"
"mturk:worker/A23EEEX9LR9X6Z";0;0;1;0;1;0;2;0;3;0;4;0;4;2;4;2;5;2;5;4;5;4;6;5;6;5;6;5;7;13;7;13;8;13;9;14;9;18;9;20
"mturk:worker/A28T38MOUG43YD";0;0;0;0;0;0;0;0;1;0;1;0;2;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0
"mturk:worker/A3E9A9O3CLMEW";0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;3;2;3;3;4
"mturk:worker/A2SNZOY3RDSJ9A";0;0;0;0;1;0;2;0;3;0;4;0;5;0;6;0;6;0;7;0;8;0;9;0;9;1;10;1;11;1;12;1;12;1;13;1;13;1;13;1
"mturk:worker/A1XVEKS9O73ERE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;2;1;2;1;2;1;2;1;3;1;3;1;3;1
"mturk:worker/A2Q3FS9G8ITCN7";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;2;0;2;0;2;0;3;0;3;0;3;0;3;2;3;2;3;2
"mturk:worker/A3LNM77PCQOTHJ";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;2;0;2;0;2;0;2;0;2;0;3;0;3;0;3;0;3;0;3;0
"mturk:worker/A2OO4PG3LBLP5I";0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;1;2;1;2;1;2;1;3;1
"mturk:worker/A248LF7KKHXZ14";0;0;1;0;2;4;2;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4
"mturk:worker/A2N0RWR3JTVBM0";0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1
"mturk:worker/ARGQ00LVKTVW1";0;0;0;0;1;0;1;0;1;0;2;0;2;0;3;0;3;0;3;0;3;0;4;0;4;0;4;0;4;0;5;0;5;0;6;0;6;0;7;2
"mturk:worker/AH9Y3W3PJGG32";0;0;0;0;0;0;1;0;1;0;2;0;2;0;2;0;3;0;4;1;4;1;5;1;6;1;6;1;7;3;7;3;7;3;7;3;8;3;8;3
"mturk:worker/A1OPGPTQJ48XOY";0;0;0;0;0;0;1;0;1;2;1;2;2;4;2;4;3;4;3;4;4;4;4;4;4;4;5;4;5;4;5;4;5;4;5;4;6;4;6;4
"mturk:worker/A2WMLZ23Z4ZRIE";0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;1;2;1;2;1;3;1;3;1;3;1;4;1;4;1;4;1;5;1;5;2;6;3
"mturk:worker/A3QL8ZAD9BKWUF";0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;2;1;2;1;2;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"mturk:worker/A3TP06ZKSDOPAO";0;1;0;1;1;1;2;1;3;1;4;1;5;1;5;1;5;1;7;1;7;1;7;1;8;1;8;1;8;1;8;1;9;1;9;1;9;1;9;1
"mturk:worker/A1LOUZD99NZCT2";0;6;0;6;0;6;0;6;1;6;1;6;1;6;2;6;2;6;2;6;2;6;2;6;2;6;2;6;2;6;2;6;2;6;2;6;2;7;2;7
"mturk:worker/A3DKYNYN50FYFY";0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;2;0;2;0;3;0;3;0;4;0;5;0;5;0;6;0;7;0;7;0;7;0;8;0
"mturk:worker/A15RSC70TW7ZKW";0;0;0;0;0;0;0;0;1;0;1;0;1;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;3;0;3;0;3;0;4;0;4;0;4;0
"mturk:worker/A1PEUJ23G02GUZ";0;1;1;1;2;1;2;5;2;5;3;5;4;5;4;5;4;5;4;5;4;5;4;5;5;5;5;6;5;6;5;6;5;6;5;6;5;6;5;6
"mturk:worker/ABL3H3O3BI8ZD";0;0;1;0;1;0;1;0;1;0;1;0;2;0;2;0;2;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0
"mturk:worker/A1B76WYZ47BQJ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;6;1;6;1;6;1;6;2;6;2;8;2;10;2;12;3;12
"mturk:worker/A4IH4CO046EV3";0;0;1;0;1;0;2;0;2;0;3;0;3;0;4;0;4;0;4;0;4;0;5;0;6;0;6;0;7;0;8;0;8;0;9;0;9;0;9;0
"mturk:worker/A3FOKP72T5I4FR";0;0;2;2;3;2;5;3;6;3;7;3;8;3;8;3;8;3;8;3;8;3;8;3;8;3;9;3;9;3;9;3;9;3;9;3;9;3;9;3
"mturk:worker/A1UGD2VEVSML1U";0;0;0;0;1;0;1;0;2;5;2;5;3;9;3;9;4;9;4;9;5;9;6;9;6;9;6;12;6;12;7;12;8;12;8;12;8;12;8;12
"mturk:worker/AZ69TBTDH7AZS";0;0;0;0;1;0;2;1;2;3;2;3;2;3;3;5;3;5;3;5;3;5;4;5;5;5;5;5;5;5;6;5;6;5;7;5;7;5;7;5
"mturk:worker/A1EITLFAMKA61U";0;1;0;1;0;1;0;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2
"mturk:worker/A22012GC5JSH0C";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;2;0;2;0;3;0;3;0;3;0;4;1;4;1;4;1;4;1
"mturk:worker/A34SUZWGLXIWM8";0;0;0;0;0;0;1;0;1;0;1;0;1;0;2;0;2;0;3;0;3;2;3;2;4;4;4;4;5;5;5;6;5;6;5;6;6;6;6;8
"mturk:worker/A2F2DDH12YU4AK";0;0;0;0;0;0;1;0;1;0;2;0;3;2;3;7;3;7;3;7;3;7;4;8;4;8;4;9;4;9;4;9;5;9;5;9;5;9;6;9
"mturk:worker/A3L04E6VTT3LCI";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2
"mturk:worker/AOB5RZ3WSAZPS";0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;2;2;2;2;2;2;3;2;3;5;3;5;3;5;3;5;4;5;4;5;5;5;5;6
"mturk:worker/A18ILYDB04VEE9";0;1;0;1;0;1;1;3;1;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"mturk:worker/A3O5EU9QQV2OS1";0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
"mturk:worker/A2FLOH4DM8A4ZS";0;5;0;5;0;5;0;5;1;5;1;5;2;5;2;5;2;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5
"mturk:worker/A35D31QHYQUF9V";0;0;1;1;2;1;2;1;3;1;4;1;4;1;4;1;5;1;5;1;5;1;5;1;5;1;5;1;6;1;6;1;6;1;7;1;7;1;7;1
"mturk:worker/A11FFJZ0C984W4";0;0;0;0;0;0;0;0;1;2;1;7;1;11;1;11;2;11;2;11;2;11;3;11;3;11;4;11;4;11;5;11;5;11;5;11;6;15;6;15
"mturk:worker/A2SKXKH9YXZYRI";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;2;5;2;8;2;8;2;8;2;8;2;8
"mturk:worker/APEE4S9XXSMGC";0;2;0;6;0;6;0;8;0;8;0;8;0;8;0;8;0;8;0;8;0;8;0;8;0;8;0;8;1;8;1;8;1;8;1;9;2;9;2;9
"mturk:worker/AIEKCWYZTS41V";0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;2;1;2;1;2;1;2;1;2;1;2;2;2;2;2;2;2;2;2;3;2
"mturk:worker/A20SL254675EOK";1;0;2;1;3;1;4;1;4;1;5;1;5;1;6;2;7;2;7;2;8;2;8;2;8;2;8;2;9;2;9;2;9;2;9;2;10;2;10;2
"mturk:worker/A1ATL3G98SFW4V";0;0;0;0;0;0;0;0;1;2;1;3;1;3;1;3;1;3;1;3;1;3;2;3;2;3;2;3;2;4;2;4;2;4;2;4;2;4;2;4
"mturk:worker/AUAN582MLI96N";0;3;1;3;2;5;2;5;2;5;2;5;2;5;2;5;2;5;2;5;2;5;2;5;2;5;2;5;4;5;4;6;4;7;5;8;5;8;5;8
"mturk:worker/A1F1BIPJR11LSR";0;0;0;0;1;0;2;0;2;0;3;1;3;1;4;1;4;1;5;1;5;2;5;2;6;3;6;3;6;3;7;4;7;4;7;4;8;4;8;6
"mturk:worker/A6FE2ZQNFW12V";0;0;1;0;2;1;3;1;4;1;4;1;5;1;5;1;6;1;6;1;8;1;9;1;10;1;10;1;11;1;11;1;11;1;11;1;11;1;11;1
"mturk:worker/A3MYPYBVHX7FQ2";0;0;0;0;1;0;2;0;2;0;3;1;3;1;3;1;4;1;4;1;5;1;5;1;5;1;5;1;6;1;7;1;7;1;7;1;7;1;8;1
"mturk:worker/AIZTLQM7HHQN6";0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;2;1;2;1;2;1;2;1;3;1;3;1;3;1;3;1;4;1;4;1;4;3;5;3
"mturk:worker/A2BCNRHZU9V7C4";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;3;1;3;2;3;2
"mturk:worker/A3KC385CZNYEG5";0;0;0;0;0;0;1;0;1;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;3;0;4;0
"mturk:worker/AQ9Y6WD8O72ZC";0;0;0;1;0;1;1;2;1;2;1;2;2;2;2;5;2;5;3;6;3;6;4;7;4;7;4;7;4;7;5;8;5;8;5;8;5;9;5;9
"mturk:worker/A1WISFBL3J5Z12";0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;2;0;2;0;3;0;3;0;4;0;4;0;4;0;5;0;5;0;5;0;6;2;6;2
"mturk:worker/A3QEVFM3UD67BA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1
"mturk:worker/A1AKX1C8GCVCTP";0;0;0;0;0;0;1;0;2;0;3;2;4;2;4;2;5;2;6;2;6;2;7;2;7;2;7;2;8;2;8;2;8;2;8;2;8;2;8;2
"mturk:worker/AAASQIW3J32OL";0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;2;0;2;0;2;0;2;0;2;0;2;0;3;0;3;0;4;0;4;0
"mturk:worker/A9692Y27LBXT9";0;0;1;0;1;0;2;0;2;0;2;0;3;0;3;0;4;0;4;0;5;0;5;0;6;0;6;0;7;0;7;0;8;0;8;0;8;0;8;0
"mturk:worker/A1NTZ2XCWWT6E5";0;0;1;0;2;0;2;0;2;0;3;0;3;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;5;1;5;1
"mturk:worker/APNTEGPF7QZQI";0;0;0;0;1;0;3;0;3;0;4;0;4;1;4;1;4;1;6;1;6;1;6;1;7;1;7;1;8;1;9;1;10;1;10;2;11;2;11;2
"mturk:worker/A3IU1F9KR74CLH";0;0;2;0;3;0;5;0;5;1;7;1;8;1;9;2;10;2;11;6;12;13;13;14;13;14;13;14;14;14;14;14;14;14;14;14;15;15;15;15
"mturk:worker/A1VPE05UDNFKGV";1;0;2;1;4;1;4;3;6;3;6;3;7;4;9;4;10;5;10;5;11;6;12;6;13;6;13;7;14;8;16;8;17;8;17;8;17;8;17;8
"mturk:worker/A1LKKK4H3XF42C";0;1;0;1;2;1;2;1;3;4;4;4;4;4;5;4;6;4;6;4;7;5;8;5;10;5;10;5;11;5;12;5;13;5;14;5;15;5;16;5
"mturk:worker/A12HZGOZQD5YK7";0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;2;0;2;0;2;0;3;1;3;1;3;1;4;2;4;2
"mturk:worker/A1ZD8RU6YB0VEU";0;0;0;0;1;0;2;0;2;0;3;0;3;0;3;0;4;0;4;0;4;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0
"mturk:worker/A125KW9P18V5Z1";0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;2;2;2;2;2;2;2;3;2;3;2;4;2;4;2;4;2;4;2;4;2;5;2;5;2
"mturk:worker/A3J55BJGV95JKH";0;2;0;4;1;4;1;4;2;4;2;4;3;7;3;8;3;8;3;8;4;8;4;8;5;8;5;8;5;8;5;8;5;8;5;8;5;8;5;8
"mturk:worker/A1LSGYXKP6O1B8";0;0;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;2;1;2;1;3;1;3;1;3;1;3;1;3;1;4;1;4;1;5;1;5;1
"mturk:worker/A267GLM78AMQ75";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;2;1;2;1;2;1;2;1;3;1;3;1;3;1
"mturk:worker/AD21ES5UMD77U";0;0;0;0;1;0;1;0;1;0;1;0;2;1;2;2;2;2;2;2;2;2;3;4;3;4;3;4;3;4;4;4;4;8;4;8;4;8;5;8
"mturk:worker/A2W8ZV9DQWVHJK";0;0;0;1;0;1;0;2;0;2;1;2;1;2;1;2;1;2;2;3;2;3;2;3;2;3;3;4;3;8;3;8;3;8;3;8;4;8;4;8
"mturk:worker/A2WYCY1FMQOD5F";0;1;1;1;1;3;2;3;3;3;3;3;4;3;4;3;4;4;5;4;5;4;5;4;5;4;5;4;5;6;6;6;6;6;6;6;6;6;6;6
"mturk:worker/A1JWKT0IS06YKL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;2;0;3;1;3;1;4;1;4;1;4;1;5;1;5;1;6;1;6;1;6;1
"mturk:worker/A26LOVXF4QZZCO";0;0;1;0;1;0;1;0;2;0;2;0;3;0;3;0;4;1;4;1;4;1;5;3;5;4;5;7;5;7;6;7;6;8;6;9;6;9;7;9
"mturk:worker/A3SD02HCW68EUL";0;0;0;0;0;0;1;0;2;0;2;0;2;0;2;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0
"mturk:worker/ADZHJZ078THWQ";0;0;1;0;2;0;4;0;4;0;5;0;6;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0
"mturk:worker/AK4WZEW584BR9";0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;2;1;2;1;2;2;2;2;2;2;2;3;2;3;2;3;2;3;2;3;2;3;2
