"workerId";"60-ideaSubmitTimers";"60-inspirationRequestTimers";"120-ideaSubmitTimers";"120-inspirationRequestTimers";"180-ideaSubmitTimers";"180-inspirationRequestTimers";"240-ideaSubmitTimers";"240-inspirationRequestTimers";"300-ideaSubmitTimers";"300-inspirationRequestTimers";"360-ideaSubmitTimers";"360-inspirationRequestTimers";"420-ideaSubmitTimers";"420-inspirationRequestTimers";"480-ideaSubmitTimers";"480-inspirationRequestTimers";"540-ideaSubmitTimers";"540-inspirationRequestTimers";"600-ideaSubmitTimers";"600-inspirationRequestTimers";"660-ideaSubmitTimers";"660-inspirationRequestTimers";"720-ideaSubmitTimers";"720-inspirationRequestTimers";"780-ideaSubmitTimers";"780-inspirationRequestTimers";"840-ideaSubmitTimers";"840-inspirationRequestTimers";"900-ideaSubmitTimers";"900-inspirationRequestTimers"
"mturk:worker/A27SMEOPKV84VI";0;1;0;1;0;1;1;2;1;2;2;3;2;3;3;4;3;4;3;4;4;5;4;5;4;5;4;5;4;5
"mturk:worker/AXT49VCFZDGW8";0;1;0;1;0;1;1;2;1;2;1;2;2;3;2;3;2;3;2;3;2;3;2;3;3;4;3;4;4;5
"mturk:worker/A53S7J4JGWG38";0;0;0;0;0;0;0;0;1;0;1;0;2;0;2;0;2;0;3;0;4;0;4;0;5;0;5;0;5;0
"mturk:worker/A2KYOM2ZGYDJGT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;2;0;3;0
"mturk:worker/A2OO4PG3LBLP5I";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"mturk:worker/A2ZDK0Y5466BXN";0;0;0;0;0;0;1;0;1;0;1;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;3;0;3;0
"mturk:worker/A30FCN88F8DZOT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;2;0
"mturk:worker/A2AAY4VT9L71SY";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;2;0;2;0;2;0;2;0;2;0;2;0
"mturk:worker/AHEVIE2NY1W1Z";0;1;0;1;0;1;0;1;0;1;1;4;1;4;1;4;2;6;2;6;2;6;2;6;3;7;3;8;3;8
"mturk:worker/A29VL3MZE7YPBZ";0;0;1;0;3;0;4;0;6;0;7;0;9;0;10;0;10;0;12;0;13;0;15;0;17;0;18;0;19;0
"mturk:worker/A2PXJTMWGUE5DC";0;0;1;0;1;0;2;0;2;0;3;0;3;0;3;0;4;0;4;0;5;0;6;0;6;0;6;0;6;0
"mturk:worker/A10HOQZSWUIYHC";0;0;0;0;0;0;0;0;1;0;1;0;2;0;2;0;3;0;3;0;3;0;4;0;4;0;4;0;5;0
"mturk:worker/A1OPGPTQJ48XOY";0;0;0;0;1;0;1;0;1;0;2;0;3;0;3;0;4;0;4;0;4;0;5;0;5;0;5;0;6;0
"mturk:worker/A29CB19F64GGIF";0;0;1;0;2;0;3;0;5;0;5;0;6;0;6;0;6;0;7;0;7;0;7;0;8;0;9;0;10;0
"mturk:worker/A1CH3TODZNQCES";0;0;0;1;1;2;1;2;2;3;2;3;2;3;2;3;3;4;3;4;4;6;5;7;5;7;6;7;6;8
"mturk:worker/A4J4GGMKJ68L0";0;1;1;2;1;2;1;2;2;3;3;4;3;4;4;5;4;5;5;6;6;7;6;7;7;8;8;9;9;10
"mturk:worker/A3J55BJGV95JKH";0;1;0;1;1;2;1;5;1;5;1;5;1;5;1;5;2;6;2;6;2;6;2;6;3;13;3;13;4;14
"mturk:worker/A2ADEPVGNNXNPA";0;1;1;3;2;5;2;5;3;6;4;7;4;7;5;8;6;9;6;9;6;9;6;9;7;10;7;10;7;10
"mturk:worker/A1WRYUFOYFF8QO";0;0;0;0;0;1;1;3;1;3;2;4;3;5;3;6;3;6;3;6;3;6;3;6;4;7;5;8;5;8
"mturk:worker/A1AKX1C8GCVCTP";0;1;0;1;0;1;0;1;2;3;3;4;3;4;3;4;4;5;4;5;4;5;4;5;4;5;5;6;6;7
"mturk:worker/AIFL3YN242DXK";0;1;1;4;1;4;1;4;1;4;2;6;2;6;3;7;3;8;4;8;4;9;4;9;5;10;5;10;5;10
"mturk:worker/A17D6BK59S31BM";0;1;0;1;1;2;1;2;2;3;2;3;2;3;2;3;2;3;3;4;3;4;3;4;4;5;4;5;4;5
"mturk:worker/A28SYXQL3YOKVL";0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;1;5;2;6;3;9;3;13
"mturk:worker/A15JWEOWELTNMC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;3;4;3;4;3;4;3;4;4;5
"mturk:worker/A9692Y27LBXT9";0;0;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3
"mturk:worker/A2YKW761AK4ZGY";0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;2;1;2;1;2;1;2;1;2
"mturk:worker/A2GHME4F11G828";0;1;0;1;0;1;0;1;1;3;1;3;2;4;2;4;2;4;2;4;3;5;3;5;4;6;4;6;5;7
"mturk:worker/A30F7J860UED9R";0;1;0;1;0;1;0;1;1;2;1;2;1;2;2;3;2;3;3;4;4;5;4;5;4;5;4;5;5;6
"mturk:worker/AJ7MWBQFNH3E4";0;0;1;1;2;2;3;3;3;3;3;4;4;5;5;6;6;7;6;7;7;8;7;9;7;9;8;10;8;10
"mturk:worker/A3FOKP72T5I4FR";0;0;1;1;1;1;2;2;3;4;4;5;4;5;5;6;6;9;7;10;8;11;9;12;9;12;9;13;9;14
"mturk:worker/A1ZD8RU6YB0VEU";0;0;0;0;1;1;2;2;3;4;4;5;4;5;5;6;5;6;5;6;5;6;5;6;6;7;6;7;6;7
"mturk:worker/AZYUCL6B0YROY";0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;3;3;4;4;4;4;5;5;5;5;6;5;6;6
"mturk:worker/A9A2IX3OBORBE";0;1;0;1;0;1;1;2;2;3;2;3;3;4;3;4;4;5;4;5;4;5;4;5;5;6;6;7;6;7
"mturk:worker/A3QL8ZAD9BKWUF";0;1;1;2;1;2;2;3;2;3;3;4;4;5;4;5;4;5;5;6;5;6;6;7;6;7;7;8;8;9
"mturk:worker/A5NHP0N1XC09K";0;1;0;1;2;3;2;3;3;4;4;5;4;5;4;5;5;6;5;6;6;7;6;8;6;8;6;8;7;9
"mturk:worker/A3EAUAU8V3B5S7";0;1;0;1;0;1;0;1;1;2;1;2;1;2;2;4;2;4;2;4;2;4;3;5;4;9;4;9;5;11
"mturk:worker/A2Z43TA0WZ0EG0";0;1;0;1;0;1;1;2;1;2;2;2;2;3;2;4;2;4;3;6;3;6;4;7;4;7;4;7;5;8
"mturk:worker/A3LL096CAY5WHB";0;0;0;0;1;1;1;1;2;3;3;4;3;4;4;5;4;5;5;5;6;7;6;7;6;7;7;8;7;9
"mturk:worker/A15JXW50UYKBGP";0;1;0;1;1;4;1;5;1;5;1;5;1;5;2;6;2;6;2;6;3;7;3;7;4;8;4;8;5;11
"mturk:worker/A2SF0TUK6XTPCO";0;1;0;1;0;1;1;1;1;2;2;3;3;4;3;4;4;5;5;6;6;7;7;8;8;9;8;9;8;9
"mturk:worker/A2C84POENS2UNY";0;1;0;1;0;1;1;2;1;2;1;2;2;2;2;3;2;3;3;4;3;4;4;5;4;5;5;6;5;6
"mturk:worker/A6JKKANO7F4KD";0;1;0;2;0;2;0;2;1;3;1;3;1;3;2;4;2;8;2;9;2;9;2;9;3;13;3;13;4;14
"mturk:worker/A2XQ3CFB5HT2ZQ";0;1;0;1;0;1;0;1;0;1;0;1;1;2;1;2;2;3;2;3;3;4;3;4;4;5;4;5;5;6
"mturk:worker/A2OVX9UW5WANQE";0;0;0;1;0;1;1;2;1;2;1;2;2;4;2;4;3;5;3;5;3;5;4;6;4;6;4;6;5;8
"mturk:worker/A3P1SDBXCNU6C";1;1;1;1;2;2;3;3;3;3;3;3;4;4;4;4;5;5;6;6;7;7;7;9;7;9;8;10;9;11
"mturk:worker/AV22FQTJNBUZT";0;0;1;1;2;2;2;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
"mturk:worker/A1RTSS7I0P7M5G";0;1;0;1;0;1;1;2;1;2;1;2;1;2;1;2;2;3;2;3;3;4;3;4;4;5;4;5;4;5
"mturk:worker/A3RCX3IQ8L6HHW";0;0;1;1;2;2;2;2;3;3;4;4;4;4;4;4;5;5;6;6;7;7;7;7;7;7;8;8;8;8
"mturk:worker/AUAN582MLI96N";0;1;0;1;1;2;2;3;2;3;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;5;4;5;4;5
"mturk:worker/A3TUCOUVSP9ZGY";0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2;2;2;2;3;3;3;3;3;3;3;3
"mturk:worker/A3K6DL4PN98CBN";0;1;0;1;1;2;1;2;2;5;3;7;3;8;4;9;5;12;6;13;7;15;8;18;8;19;9;22;10;29
"mturk:worker/A1WOV2JIV5I9VE";0;2;0;2;1;3;1;3;2;4;2;4;3;11;3;11;4;12;5;13;5;13;5;13;5;13;5;13;5;13
"mturk:worker/A3BI0AX5T5GVO3";0;1;0;1;1;3;2;4;2;4;2;4;2;4;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5
"mturk:worker/AKRFNRKI1IMJ1";0;0;1;1;1;1;1;1;2;2;3;3;3;3;4;4;5;5;5;5;7;7;7;7;8;8;9;9;9;9
"mturk:worker/AOAZMLP27GD81";0;0;0;0;1;2;1;2;1;2;2;3;3;4;3;7;4;9;4;9;5;10;5;11;6;13;6;18;6;18
"mturk:worker/A3MYPYBVHX7FQ2";0;1;0;1;0;1;1;2;1;2;2;3;2;3;2;3;2;3;3;4;3;4;3;4;3;4;3;4;4;5
"mturk:worker/AKNYT1NTK2UFK";0;1;0;1;1;2;1;2;1;2;2;3;2;3;2;3;3;4;3;4;4;5;4;5;4;5;5;7;5;10
"mturk:worker/A2Z3VYYYAIOGHC";0;1;0;1;1;2;2;3;3;4;3;4;4;5;5;6;6;7;6;8;6;8;7;9;7;9;8;13;8;16
"mturk:worker/A3V1ZYXBJYCIIE";0;1;1;2;1;2;2;3;3;4;3;4;4;5;4;5;5;7;5;7;6;8;6;8;6;8;6;8;6;8
"mturk:worker/A33S9Z0SQC71A0";0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;3;3;3;3
"mturk:worker/A27NBGO9FXJS8Q";0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2;2;2;2;2;2;3;3;3;3
"mturk:worker/A3LT7W355XOAKF";0;0;0;1;0;1;0;1;0;1;1;2;1;2;1;2;1;2;1;2;1;2;2;3;2;3;2;3;3;4
"mturk:worker/ATSZCAVI441RM";0;0;0;0;1;1;1;1;2;2;2;2;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;5;5
"mturk:worker/A2EI075XZT9Y2S";0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"mturk:worker/AJRY9ALX8069Y";0;0;1;2;1;2;2;4;2;4;3;5;3;7;4;7;4;8;5;10;5;10;6;11;7;12;8;13;8;13
