"workerId";"60-ideaSubmitTimers";"60-inspirationRequestTimers";"120-ideaSubmitTimers";"120-inspirationRequestTimers";"180-ideaSubmitTimers";"180-inspirationRequestTimers";"240-ideaSubmitTimers";"240-inspirationRequestTimers";"300-ideaSubmitTimers";"300-inspirationRequestTimers";"360-ideaSubmitTimers";"360-inspirationRequestTimers";"420-ideaSubmitTimers";"420-inspirationRequestTimers";"480-ideaSubmitTimers";"480-inspirationRequestTimers";"540-ideaSubmitTimers";"540-inspirationRequestTimers";"600-ideaSubmitTimers";"600-inspirationRequestTimers";"660-ideaSubmitTimers";"660-inspirationRequestTimers";"720-ideaSubmitTimers";"720-inspirationRequestTimers";"780-ideaSubmitTimers";"780-inspirationRequestTimers";"840-ideaSubmitTimers";"840-inspirationRequestTimers";"900-ideaSubmitTimers";"900-inspirationRequestTimers";"960-ideaSubmitTimers";"960-inspirationRequestTimers";"1020-ideaSubmitTimers";"1020-inspirationRequestTimers";"1080-ideaSubmitTimers";"1080-inspirationRequestTimers";"1140-ideaSubmitTimers";"1140-inspirationRequestTimers";"1200-ideaSubmitTimers";"1200-inspirationRequestTimers";"1260-ideaSubmitTimers";"1260-inspirationRequestTimers";"1320-ideaSubmitTimers";"1320-inspirationRequestTimers";"1380-ideaSubmitTimers";"1380-inspirationRequestTimers";"1440-ideaSubmitTimers";"1440-inspirationRequestTimers";"1500-ideaSubmitTimers";"1500-inspirationRequestTimers"
"mturk:worker/A16TP8YGKE1FJ5";0;0;0;0;0;0;1;0;1;0;1;0;1;0;2;0;2;1;2;1;2;1;2;1;3;1;3;1;4;1;4;6;4;11;4;11;4;11;4;11;4;11;4;11;5;11;6;20;6;29
"mturk:worker/A2ZNOMZ35LKY8Q";0;1;0;1;0;1;1;1;1;1;1;1;2;2;2;2;2;2;3;2;3;2;3;2;4;2;4;3;4;3;5;4;5;4;5;4;5;4;6;4;6;4;6;5;6;5;6;5;7;5
"mturk:worker/A1EITLFAMKA61U";0;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;2;2;2;2;2;3;2;3;2;3;2;3;3;3;3;3;3;3
"mturk:worker/A149ROBL26JWPJ";0;1;0;1;1;1;1;1;2;1;2;2;2;2;3;2;3;2;4;3;4;3;5;4;5;7;5;8;5;8;6;9;6;9;7;10;7;10;7;10;7;10;8;12;8;12;9;12;9;12
"mturk:worker/A2G7N0X0PNX0EE";0;0;0;0;1;0;1;0;1;0;2;0;2;0;3;0;3;0;3;0;4;0;4;0;4;0;5;1;5;1;5;1;6;1;6;2;6;2;7;4;7;4;7;4;8;5;8;5;9;8
"mturk:worker/A15RSC70TW7ZKW";0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;3;3;3;3;3;3;4;4;4;4;4;4;5;4;5;4;5;4;5;4;5;4
"mturk:worker/A2W3A42TRMJ861";0;1;0;1;0;1;0;1;0;1;1;2;1;2;1;2;1;2;2;2;2;3;2;3;3;4;3;4;3;4;4;5;4;5;4;5;5;5;5;5;5;5;5;5;6;6;6;6;6;6
"mturk:worker/A3F0ECWT21FVMG";0;0;0;0;0;0;1;0;1;0;1;0;2;0;2;0;3;0;4;1;4;1;4;1;4;1;5;1;6;1;6;1;7;1;8;2;8;2;8;2;9;2;9;2;10;2;10;2;11;2
"mturk:worker/A1ZT30BGR3266K";0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;1;2;1;2;1;2;1;3;1;3;1;3;1;3;1;4;1;4;1;4;1;4;1;4;1
"mturk:worker/A3KCZB9IL6CVH";0;0;0;1;0;1;0;1;0;1;1;1;1;1;1;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1
