,age-group,better-ideas-with-inspirations,fulltext-feedback,gender,inspirations-were-distracting,inspirations-were-diverse,request-timing,satisfied-with-inspirations,session1_brainstormingSessionId,session1_ideatorType,session1_numberOfRequests,session1_numberOfSessionBlurred,session1_numberOfSubmits,session2_brainstormingSessionId,session2_condition,session2_numberOfRequests,session2_numberOfSessionBlurred,session2_numberOfSubmits,tlx-effort,tlx-frustration,tlx-mental,tlx-performance,tlx-temporal,novelty_max,value_max,novelty_min,value_min,novelty_mean,value_mean
0,18 - 24 years old,1.0,,m,5.0,2.0,before|in-the-middle,1.0,89,SEEKER,18,3,8,90,baseline,0.0,8.0,15.0,5.0,1.0,5.0,3.0,4.0,0.666081983413741,0.905223521476017,-0.9626650201807231,-1.224282924016836,-0.03439353113060054,-0.2203152450140682
1,25 - 34 years old,4.0,,m,5.0,3.0,out-of-ideas|before,3.0,96,SEEKER,9,2,3,98,on-demand,13.0,1.0,4.0,7.0,6.0,6.0,6.0,1.0,0.9835901514803571,-0.395849435493202,-0.6634529828780621,-1.451714067229604,-0.06007224124695275,-0.8487636267209527
2,55 - 64 years old,2.0,"If it was more of a chat with several people, maybe they would have thought of more things by hearing the other ideas.",unknown,5.0,3.0,before,1.0,92,AVOIDER,0,0,5,94,on-demand,0.0,0.0,9.0,5.0,1.0,5.0,2.0,2.0,0.7915596795586001,1.009439331127233,-1.077894692760966,-0.574358397895111,-0.10685141764138047,0.24302512434007373
3,25 - 34 years old,1.0,"Awesome HIT! Really it was great, and the fact that you offered a bonus for longer versions of the HIT were cool. It would be nice if you could add a worker's total earnings based on the version they took to the final page, to confirm the bonus (it adds to peace of mind). Thank you!",m,5.0,1.0,out-of-ideas|before|in-the-middle,1.0,103,SEEKER,10,0,6,104,on-idle,6.0,2.0,10.0,7.0,1.0,4.0,1.0,1.0,1.018802664706196,1.007887202802159,-0.6486030897777281,-0.0040645158828070006,0.2658934235871047,0.5298975186384116
4,25 - 34 years old,2.0,,m,5.0,1.0,out-of-ideas,1.0,93,AVOIDER,0,2,3,95,on-idle,26.0,0.0,2.0,7.0,4.0,7.0,4.0,4.0,-0.26145605422323503,0.39260214866805704,-0.5711745115619691,-0.458931881879012,-0.41631528289260206,-0.03316486660547749
5,25 - 34 years old,3.0,"It seems odd to pay less for the 2nd part. You pay $4 for 10 minutes of idea generation, but then only $3 for 15 minutes of it if you get accepted for the 2nd task. Not exactly going to make people motivated when they know they are now working for less than they did in the first task. If anything, it should pay more per minute of work in the 2nd task, but at the very least pay the same minute rate.",m,3.0,3.0,did-not,3.0,99,AVOIDER,0,0,14,100,baseline,0.0,0.0,24.0,4.0,2.0,5.0,2.0,3.0,1.2679177035292741,1.197149022345203,-1.290609364062838,-1.040959424679366,0.1964214717437227,0.063553344361392
6,25 - 34 years old,4.0,"I'd say i felt discouraged and insecure, not annoyed though.it was a fun task! i just wish i was more creative",f,1.0,3.0,in-the-middle,5.0,11,AVOIDER,1,0,4,12,baseline,0.0,0.0,5.0,7.0,7.0,7.0,7.0,3.0,0.287178761745756,-0.034464092250504,-1.616322083878758,-1.2227456271888721,-0.6173522650946334,-0.526653776773751
7,25 - 34 years old,2.0,"Thank you, I enjoyed this task :)",unknown,5.0,2.0,before|in-the-middle,1.0,106,UNDETERMINED,5,0,8,,,,,,7.0,3.0,5.0,2.0,3.0,,,,,,
8,25 - 34 years old,1.0,,f,5.0,2.0,out-of-ideas|in-the-middle,1.0,107,UNDETERMINED,5,0,10,,,,,,5.0,1.0,4.0,2.0,3.0,,,,,,
9,25 - 34 years old,2.0,none,m,5.0,2.0,before,1.0,108,SEEKER,8,1,6,109,baseline,0.0,2.0,8.0,7.0,4.0,5.0,6.0,1.0,0.9485402018003921,0.9962311391254601,-0.17325062077674103,-0.18924273705775202,0.19245321337931853,0.1691112203597925
10,35 - 44 years old,3.0,,m,2.0,2.0,in-the-middle,3.0,110,UNDETERMINED,5,0,6,,,,,,5.0,6.0,6.0,5.0,5.0,,,,,,
11,35 - 44 years old,2.0,"none, it was a good task. I liked doing some thinking instead of just clicking bubbles.",f,5.0,1.0,out-of-ideas,1.0,135,SEEKER,9,0,9,136,baseline,0.0,0.0,13.0,7.0,2.0,6.0,2.0,1.0,0.9844525023757901,0.8859861771697981,-0.335599349314118,-0.50277622558796,0.3961100658030849,0.16525600346759634
12,25 - 34 years old,1.0,,unknown,5.0,1.0,out-of-ideas,1.0,129,UNDETERMINED,3,0,7,,,,,,5.0,4.0,5.0,6.0,4.0,,,,,,
13,35 - 44 years old,2.0,"No issues, fun study!",m,5.0,1.0,out-of-ideas|in-the-middle,1.0,131,SEEKER,15,2,5,133,on-demand,15.0,1.0,4.0,6.0,1.0,6.0,1.0,2.0,0.214793949109185,0.319184016504351,-0.189252663433175,-0.40823649490603703,-0.002712128092004752,-0.0012319442245037476
14,35 - 44 years old,2.0,,m,2.0,2.0,out-of-ideas,2.0,132,SEEKER,5,1,3,134,on-idle,20.0,8.0,4.0,3.0,3.0,7.0,4.0,7.0,0.22498456331333103,-0.11701832831599102,-1.007505583937307,-0.8717299063546311,-0.26327840300883854,-0.5985829172488903
15,35 - 44 years old,3.0,,m,2.0,5.0,bored,4.0,137,AVOIDER,0,0,6,138,on-demand,11.0,2.0,10.0,7.0,3.0,7.0,5.0,1.0,0.192503237219769,0.106052093072607,-2.412761855108803,-1.439122668643205,-0.755063258194797,-0.49861419017585823
16,18 - 24 years old,1.0,Thank you!,f,5.0,1.0,out-of-ideas,1.0,139,SEEKER,7,0,4,140,on-idle,14.0,0.0,7.0,6.0,4.0,6.0,2.0,4.0,0.938133274191377,0.6330747560119261,-0.954389078339631,-0.475177337351446,-0.060601310391589995,0.19446924202197016
17,35 - 44 years old,1.0,"A few of my ideas I did not stress the use of fabric. Although I believe they were suffice, I forgot to include that detail. If you have any questions feel free to email me. Thanks a lot! ",m,5.0,1.0,before|in-the-middle,1.0,141,SEEKER,19,0,5,143,on-demand,25.0,1.0,7.0,7.0,5.0,7.0,5.0,4.0,1.218239200661224,0.9111810090034471,-0.542174056256393,-0.9447106187918861,0.48628812112644276,0.15019880522017043
18,35 - 44 years old,1.0,,f,5.0,1.0,out-of-ideas|in-the-middle,1.0,142,UNDETERMINED,4,7,8,,,,,,6.0,3.0,7.0,3.0,4.0,,,,,,
19,45 - 54 years old,2.0,,f,4.0,1.0,out-of-ideas|before,1.0,144,UNDETERMINED,3,0,5,,,,,,7.0,3.0,7.0,3.0,5.0,,,,,,
20,25 - 34 years old,2.0,,m,4.0,2.0,out-of-ideas,2.0,146,SEEKER,35,18,6,149,on-idle,12.0,28.0,10.0,7.0,2.0,6.0,2.0,6.0,0.933934843523969,0.6022525663874151,-0.7855133080337211,-1.110466475497698,0.0328227992666684,-0.03582972023845651
21,25 - 34 years old,3.0,"All good, thanks.",m,5.0,2.0,out-of-ideas|before,2.0,148,SEEKER,5,1,5,152,baseline,0.0,3.0,11.0,6.0,1.0,6.0,2.0,1.0,1.3147961805047181,0.579117189272443,-0.36337622364543903,-1.650428074082888,0.1769107930813935,-0.2758574197099771
22,25 - 34 years old,2.0,An extra 15 minutes for lower pay than 10 minutes isn't exactly fair or reasonable.,o,4.0,2.0,out-of-ideas,2.0,147,AVOIDER,1,0,11,150,on-idle,10.0,0.0,17.0,5.0,1.0,5.0,1.0,1.0,1.10365128431959,0.6520617837075361,-0.8048633658534741,-1.42863260482433,0.34286161478072863,-0.2981537971213333
23,35 - 44 years old,3.0,,f,5.0,2.0,out-of-ideas|in-the-middle,1.0,151,SEEKER,5,0,8,154,on-demand,14.0,0.0,13.0,4.0,1.0,3.0,3.0,5.0,0.797260751393126,1.716426346030533,-1.078910372545463,-0.712686630017846,-0.1156750812067026,0.24523644663888536
24,35 - 44 years old,1.0,,unknown,4.0,2.0,in-the-middle,2.0,153,UNMOTIVATED,6,9,2,,,,,,6.0,2.0,7.0,4.0,4.0,,,,,,
25,45 - 54 years old,2.0,"In the second exercise, I couldn't summon inspiration on demand like I did in the first task. When I got stuck, I was really hoping I could hit the button to see other ideas. Instead, they seemed to only pop up after I had not typed anything for a period of time. I would have preferred to have on-demand access to the inspiration tool.",m,5.0,3.0,out-of-ideas|before,1.0,155,SEEKER,10,0,6,156,on-idle,3.0,0.0,8.0,7.0,6.0,6.0,5.0,5.0,0.7339328813246411,1.171585911146614,-0.200180315636782,-0.193118406610427,0.27588528739141527,0.4401155607032288
26,18 - 24 years old,1.0,"If the timer ends while I'm still typing, let me submit that idea. ",m,5.0,1.0,out-of-ideas,1.0,159,UNMOTIVATED,5,6,2,,,,,,7.0,1.0,7.0,1.0,7.0,,,,,,
27,25 - 34 years old,3.0,No additional feedback,m,3.0,3.0,did-not,3.0,157,AVOIDER,0,0,6,158,baseline,0.0,1.0,8.0,4.0,1.0,6.0,5.0,2.0,0.503643158468793,1.060780521110608,-0.220934092671618,-0.50848844694182,0.15184247685037638,0.38795448608431565
28,25 - 34 years old,2.0,"I enjoyed the HIT but I had to spend limited clock time with reading the idea and trying to determine exactly what was the problem to be solved. I also thought the instructions were a little vague. I figured it out, but it could have been a little clearer. Perhaps you could prominently state somewhere on the timed page that what you are looking for is other ways to use this technology.",m,4.0,1.0,before|in-the-middle,2.0,160,UNDETERMINED,3,0,4,,,,,,5.0,1.0,4.0,2.0,5.0,,,,,,
29,18 - 24 years old,1.0,Overall this was a good hit and interesting concept I would have like have inspiration for the second tasks. ,m,1.0,2.0,out-of-ideas,1.0,161,SEEKER,13,0,7,162,baseline,0.0,3.0,4.0,7.0,6.0,5.0,5.0,3.0,,,,,,
30,25 - 34 years old,1.0,n/a,f,5.0,1.0,out-of-ideas|before,1.0,164,AVOIDER,1,0,5,167,on-demand,0.0,0.0,10.0,5.0,1.0,4.0,3.0,2.0,0.754905937072692,0.5810525030973901,-0.693135901533762,-1.579384447782549,0.14089360277789972,-0.2752186643691147
31,25 - 34 years old,5.0,,m,2.0,4.0,out-of-ideas,5.0,166,UNMOTIVATED,1,1,2,,,,,,5.0,1.0,5.0,1.0,1.0,,,,,,
32,25 - 34 years old,1.0,Everything was good. :),f,5.0,1.0,out-of-ideas,1.0,168,SEEKER,26,0,8,170,on-demand,37.0,0.0,14.0,7.0,3.0,6.0,6.0,2.0,1.17656756816555,0.8094225451010271,-0.503562548601743,-0.6909261209866441,0.23913420420339326,0.09698823531503752
33,25 - 34 years old,1.0,,f,5.0,1.0,out-of-ideas,1.0,171,SEEKER,12,0,14,173,baseline,0.0,6.0,16.0,6.0,5.0,6.0,3.0,2.0,0.8859506022932491,1.039605642554314,-1.064311517352333,-1.38265676513381,-0.055828498728857895,-0.40622681441852737
34,25 - 34 years old,3.0,I was confused in the 2nd iteration because the prompt described my purpose as solving an issue. I read the page multiple times looking for an issue that I may have overlooked,m,3.0,3.0,bored,3.0,174,AVOIDER,1,0,4,175,baseline,0.0,0.0,4.0,3.0,1.0,3.0,2.0,3.0,1.180527166155874,0.8000383918720001,-0.6672183265793641,-0.5600234351621101,0.28584079705153176,0.2862588756891
35,35 - 44 years old,1.0,I enjoyed this task! The instructions were clear and concise. Thank you.,f,5.0,1.0,out-of-ideas|before,1.0,177,SEEKER,7,0,4,178,on-demand,31.0,0.0,6.0,6.0,2.0,3.0,3.0,1.0,0.8824739527835781,0.9685396468382821,-0.22005136260374503,0.039128287939097006,0.3601747795758077,0.5147157985013618
